,sim_id,$\eta$,$\omega$,$D_r$
0,188,1.2000000000000002,1.9219463256191502,1.3466610542873971
0,189,1.2000000000000002,1.9059983650654093,1.4169138324666777
0,190,1.2000000000000002,1.9177881738535882,1.479687957914519
0,191,1.2000000000000002,1.8469841051651126,1.654956262866023
0,192,1.2000000000000002,1.922994994193778,1.2200634246146216
0,193,1.2000000000000002,1.9059983650654093,1.2841776240232414
0,194,1.2000000000000002,1.8469841051651126,1.2986837413572114
0,195,1.2000000000000002,1.8469841051651126,1.2021718369550702
0,196,1.2000000000000002,1.8469841051651126,1.3976620021297252
0,197,1.2000000000000002,1.8469841051651126,1.194604909948035
0,198,1.2000000000000002,1.8469841051651126,1.482741065851547
0,199,1.2000000000000002,1.8670222053480545,1.7278151549230996
0,200,1.2000000000000002,1.8469841051651126,1.339484985692643
0,201,1.2000000000000002,1.8469841051651126,1.4613091115854433
0,202,1.2000000000000002,1.9084771580084163,1.284775554050047
0,203,1.2000000000000002,1.9140221028812552,1.3771150566121202
0,204,1.2000000000000002,1.910593882266151,1.2456890285676947
0,205,1.2000000000000002,1.8469841051651126,1.3163273747922062
0,206,1.2000000000000002,1.8290402863589672,1.2335336827735277
0,207,1.2000000000000002,1.9140259980813614,1.339091404873134
0,208,1.2000000000000002,1.8469841051651126,1.3857135402823852
0,209,1.2000000000000002,1.8290402863589672,1.3544101621406972
0,210,1.4000000000000001,1.8469841051651126,1.0866778046253722
0,211,1.4000000000000001,1.8469841051651126,1.2477541171095357
0,212,1.4000000000000001,1.8469724925923998,1.3710177740082066
0,213,1.4000000000000001,1.8760174666713199,1.2879741274335648
0,214,1.4000000000000001,1.9059983650654093,1.2519769284845366
0,215,1.4000000000000001,1.919253185116611,1.2865299913682862
0,216,1.4000000000000001,1.9229953414038836,1.226929220935737
0,217,1.4000000000000001,1.8760178138814254,1.174933144029592
0,218,1.4000000000000001,1.9428704036960094,1.2197931877248043
0,219,1.4000000000000001,1.910593882266151,1.192948266694388
0,220,1.4000000000000001,1.922812660518455,1.166444054865405
0,221,1.4000000000000001,1.922812660518455,1.40726522123094
0,222,1.4000000000000001,1.9034889617906894,1.3115314020363584
0,223,1.4000000000000001,1.8469841051651126,1.3368425112822626
0,224,1.4000000000000001,1.922994994193778,1.2949715207165677
0,225,1.4000000000000001,1.876016485325584,1.3945743435078282
0,226,1.4000000000000001,1.9229937484577455,1.2144879518736078
0,227,1.4000000000000001,1.904589696627747,1.2619630289131192
0,228,1.4000000000000001,1.876016485325584,1.2860555370576603
0,229,1.4000000000000001,1.9465303789052992,1.198668098020845
0,230,1.4000000000000001,1.9084771580084163,1.3536116399137241
