,sim_id,$p_s$,$D_r$
0,132,0.43,1.4831243545780486
0,133,0.43,1.154718992970786
0,134,0.43,1.3196315250603077
0,135,0.43,1.3726359741183711
0,136,0.43,1.2903889959129138
0,137,0.43,1.268576288205793
0,138,0.43,1.4464303411570476
0,139,0.43,1.404781166683639
0,140,0.43,1.2766499743814854
0,141,0.43,1.386523926161209
0,142,0.43,1.347974206768944
0,143,0.43,1.43968976189211
0,144,0.43,1.4864321359181365
0,145,0.43,1.4744098376426202
0,146,0.43,1.4403718715501643
0,147,0.43,1.5048524726823715
0,148,0.43,1.2670201496316273
0,149,0.43,1.2472552959051488
0,150,0.525,1.3372651363791377
0,151,0.525,1.2118955693616773
0,152,0.525,1.4422132192704797
0,153,0.525,1.2817821706989758
0,154,0.525,1.2882480164100818
0,155,0.525,1.156556854712524
0,156,0.525,1.2203888414972566
0,157,0.525,1.3643537230754528
0,158,0.525,1.3988690817590823
0,159,0.525,1.194361700586126
0,160,0.525,1.320558505012306
0,161,0.525,1.533713508615176
0,162,0.525,1.322481955844932
0,163,0.525,1.2047360105847396
0,164,0.525,1.2126022521099153
0,165,0.525,1.367124075802865
0,166,0.525,1.349770946343566
0,167,0.525,1.3292168800051274
0,168,0.525,1.345760773365603
0,169,0.525,1.3097243040640825
0,170,0.525,1.4944329604119422
0,171,0.525,1.2603624120254708
0,172,0.525,1.4210692087676342
0,173,0.525,1.343944451302023
0,174,0.525,1.2043585042831202
0,175,0.525,1.3462645829146576
0,176,0.525,1.214591741824789
0,177,0.525,1.30093879480322
0,178,0.525,1.1972437732565633
0,179,0.525,1.0721087497405137
0,180,0.6200000000000001,1.3194388469418032
0,181,0.6200000000000001,1.3621692879039449
0,182,0.6200000000000001,1.294012562569464
0,183,0.6200000000000001,1.4344137996956823
0,184,0.6200000000000001,1.5738451475709414
0,185,0.6200000000000001,1.2235805459653553
0,186,0.6200000000000001,1.3510963290574476
0,187,0.6200000000000001,1.1346430516360086
0,188,0.6200000000000001,1.2946819474608484
0,189,0.6200000000000001,1.4464569783567798
